Latitude,Longitude
41.65320694,-87.539882154
41.884158548,-87.672583642
41.679157365,-87.625152774
41.884158696,-87.672609346
41.909930969,-87.722373477
41.922174521,-87.654719308
41.863196881,-87.614817819
41.768881851,-87.576372975
41.962512989,-87.750341052
41.782565663,-87.764348506
41.688219883,-87.619503084
41.846353605,-87.654214606
41.94266078,-87.64013022
41.917656022,-87.688750258
41.844345008,-87.717536811
41.884049622,-87.662787023
41.653092226,-87.547150644
41.883057444,-87.751056566
41.939507584,-87.764991703
42.021583227,-87.67307276
41.847512401,-87.710000816
41.869201889,-87.670589881
41.746980538,-87.600214942
41.865472936,-87.773262071
41.857234938,-87.648266624
41.834475123,-87.617395885
41.951324798,-87.71569575
41.889751946,-87.631072891
41.773277862,-87.591890719
41.910780664,-87.703393602
41.889548261,-87.687541823
41.889548261,-87.687541823
41.853165679,-87.64650781
41.855285926,-87.650471472
41.858479031,-87.709094082
41.753491473,-87.655421615
41.810707298,-87.603919835
41.956136165,-87.727686015
41.88916733,-87.748051972
41.900099097,-87.662516286
41.770995109,-87.591117851
41.867189292,-87.716201538
41.851461076,-87.671679648
41.815901118,-87.623013703
41.91310256,-87.760012625
41.750513752,-87.621367643
41.998554956,-87.688684968
41.700468155,-87.535280733
41.800556105,-87.658685013
41.930896787,-87.697587655
41.926328577,-87.753764744
41.917190822,-87.724696154
41.913311389,-87.772851391
41.753469169,-87.661904991
41.97075752,-87.671071615
41.89852517,-87.700446984
41.89852517,-87.700446984
41.93435831,-87.706263514
41.861863842,-87.712849684
41.920792154,-87.78535616
42.018481291,-87.682989445
41.83910386,-87.641439821
41.809125265,-87.631906508
41.75702248,-87.558073456
41.713753878,-87.642987258
41.89852517,-87.700446984
41.902577785,-87.731990704
41.815136184,-87.667574569
41.801194774,-87.677511345
41.781499104,-87.605955856
41.944843221,-87.649413709
41.657844675,-87.597607575
41.914187505,-87.689762456
41.743085927,-87.600145655
41.768534104,-87.62825059
41.750541016,-87.599100677
41.677830552,-87.620503762
41.849567239,-87.690472978
41.895003278,-87.62152816
41.703496822,-87.625149423
41.886493289,-87.700242574
41.839410287,-87.646313633
41.785848109,-87.607582382
41.869561403,-87.743564382
41.954788363,-87.669064229
41.765910104,-87.628176685
41.880186421,-87.768532463
41.709826766,-87.627182158
41.895028832,-87.651517456
41.968609432,-87.650104582
41.751381506,-87.701223812
41.908312456,-87.671478645
41.913038263,-87.636725436
41.817101454,-87.631225183
41.772540956,-87.574024077
41.888165132,-87.622937212
41.908718708,-87.724052912
41.942249895,-87.642986977
41.675104152,-87.634597141
41.870472659,-87.743596393
41.901981563,-87.64214259
41.76314781,-87.559711468
41.785268355,-87.614452924
41.921631615,-87.731584015
41.790754583,-87.739927261
42.018990328,-87.673611114
41.869569833,-87.743068653
41.884374921,-87.751103361
41.932720518,-87.698863184
41.939315143,-87.70942733
41.870110221,-87.69976174
41.793805994,-87.654168189
41.830625357,-87.60784368
41.879407016,-87.681489582
41.846485043,-87.61888421
41.87277057,-87.63062361
41.903304304,-87.670064675
41.750613302,-87.61006462
41.747439426,-87.557672067
41.905016401,-87.669062452
41.759144852,-87.635727727
41.755906211,-87.657708819
41.701132168,-87.662823233
41.951185661,-87.685956871
41.774863731,-87.680958152
42.009391304,-87.698451399
41.742601284,-87.663242082
41.843989099,-87.705025427
41.76420946,-87.626523852
41.925395988,-87.652359093
41.934304581,-87.641484982
41.950223051,-87.65562765
41.913236156,-87.649560197
41.709983428,-87.648993633
41.803460237,-87.743044967
41.767562329,-87.686992503
41.881883933,-87.640060441
41.763387353,-87.563505963
41.950736661,-87.707930056
41.719427965,-87.574059924
41.749586353,-87.671905951
41.87690827,-87.680262854
41.880933395,-87.709257484
41.981360297,-87.692197976
41.805328871,-87.611360483
41.973885119,-87.657748827
41.940395861,-87.806830032
42.001680171,-87.673160839
41.913151068,-87.649557431
41.938151196,-87.796189752
41.907183456,-87.722789081
41.987298533,-87.658644287
42.005011622,-87.660870765
41.972999914,-87.77095671
41.945690203,-87.64557442
41.707246223,-87.618164684
41.809297059,-87.591967028
41.746773075,-87.603837805
41.979085371,-87.662427155
41.890009808,-87.712008113
41.753414831,-87.576763632
41.762304056,-87.598823639
41.810259552,-87.74444979
41.742303463,-87.672948054
41.763754044,-87.688112032
41.855918002,-87.669820382
41.807408638,-87.689295411
41.839768447,-87.673704731
41.848962483,-87.705167619
41.777484213,-87.615555409
41.910760668,-87.65927455
41.912367048,-87.661318729
41.914186413,-87.71912545
41.871336669,-87.625925
41.913633618,-87.662510518
41.847489297,-87.708778855
41.76048106,-87.65586119
41.852198325,-87.674377204
41.89498119,-87.748895094
41.851912036,-87.694622835
41.857430659,-87.616486504
41.874959934,-87.746356728
41.963070794,-87.655984213
41.758579621,-87.562727773
41.874494994,-87.717317244
41.902097269,-87.634959946
41.935701767,-87.749218092
41.765698047,-87.722438871
41.996358818,-87.662212647
41.723056693,-87.612963575
41.989581611,-87.655368494
41.801227706,-87.675112409
41.884154496,-87.672833401
